frame,source_sheet,row,column,asset_source,rights_status
frame-272.png,sheet-31.png,1,2,original generated illustration,original
frame-273.png,sheet-31.png,1,3,original generated illustration,original
frame-274.png,sheet-31.png,2,1,original generated illustration,original
frame-275.png,sheet-31.png,2,2,original generated illustration,original
frame-276.png,sheet-31.png,2,3,original generated illustration,original
frame-277.png,sheet-31.png,3,1,original generated illustration,original
frame-278.png,sheet-31.png,3,2,original generated illustration,original
frame-279.png,sheet-31.png,3,3,original generated illustration,original
frame-280.png,sheet-32.png,1,1,original generated illustration,original
frame-281.png,sheet-32.png,1,2,original generated illustration,original
frame-282.png,sheet-32.png,1,3,original generated illustration,original
frame-283.png,sheet-32.png,2,1,original generated illustration,original
frame-284.png,sheet-32.png,2,2,original generated illustration,original
frame-285.png,sheet-32.png,2,3,original generated illustration,original
frame-286.png,sheet-32.png,3,1,original generated illustration,original
frame-287.png,sheet-32.png,3,2,original generated illustration,original
frame-288.png,sheet-32.png,3,3,original generated illustration,original
frame-289.png,sheet-33.png,1,1,original generated illustration,original
frame-290.png,sheet-33.png,1,2,original generated illustration,original
frame-291.png,sheet-33.png,1,3,original generated illustration,original
frame-292.png,sheet-33.png,2,1,original generated illustration,original
frame-293.png,sheet-33.png,2,2,original generated illustration,original
frame-294.png,sheet-33.png,2,3,original generated illustration,original
frame-295.png,sheet-33.png,3,1,original generated illustration,original
frame-296.png,sheet-33.png,3,2,original generated illustration,original
frame-297.png,sheet-33.png,3,3,original generated illustration,original
frame-298.png,sheet-34.png,1,1,original generated illustration,original
frame-299.png,sheet-34.png,1,2,original generated illustration,original
frame-300.png,sheet-34.png,1,3,original generated illustration,original
frame-301.png,sheet-34.png,2,1,original generated illustration,original
frame-302.png,sheet-34.png,2,2,original generated illustration,original
frame-303.png,sheet-34.png,2,3,original generated illustration,original
frame-304.png,sheet-34.png,3,1,original generated illustration,original
frame-305.png,sheet-34.png,3,2,original generated illustration,original
frame-306.png,sheet-34.png,3,3,original generated illustration,original
frame-307.png,sheet-35.png,1,1,original generated illustration,original
frame-308.png,sheet-35.png,1,2,original generated illustration,original
frame-309.png,sheet-35.png,1,3,original generated illustration,original
frame-310.png,sheet-35.png,2,1,original generated illustration,original
frame-311.png,sheet-35.png,2,2,original generated illustration,original
frame-312.png,sheet-35.png,2,3,original generated illustration,original
frame-313.png,sheet-35.png,3,1,original generated illustration,original
frame-314.png,sheet-35.png,3,2,original generated illustration,original
frame-315.png,sheet-35.png,3,3,original generated illustration,original
frame-316.png,sheet-36.png,1,1,original generated illustration,original
frame-317.png,sheet-36.png,1,2,original generated illustration,original
frame-318.png,sheet-36.png,1,3,original generated illustration,original
frame-319.png,sheet-36.png,2,1,original generated illustration,original
frame-320.png,sheet-36.png,2,2,original generated illustration,original
frame-321.png,sheet-36.png,2,3,original generated illustration,original
frame-322.png,sheet-36.png,3,1,original generated illustration,original
frame-323.png,sheet-36.png,3,2,original generated illustration,original
frame-324.png,sheet-36.png,3,3,original generated illustration,original
frame-325.png,sheet-37.png,1,1,original generated illustration,original
frame-326.png,sheet-37.png,1,2,original generated illustration,original
frame-327.png,sheet-37.png,1,3,original generated illustration,original
frame-328.png,sheet-37.png,2,1,original generated illustration,original
frame-329.png,sheet-37.png,2,2,original generated illustration,original
frame-330.png,sheet-37.png,2,3,original generated illustration,original
frame-331.png,sheet-37.png,3,1,original generated illustration,original
frame-332.png,sheet-37.png,3,2,original generated illustration,original
frame-333.png,sheet-37.png,3,3,original generated illustration,original
